"","REGION","STATEFIP","METRO","OWNERSHP","RENT","FOODSTMP","VEHICLES","FAMSIZE","NCHILD","SEX","AGE","MARST","MARRNO","RACE","CITIZEN","SPEAKENG","HCOVANY","EDUC","GRADEATT","EMPSTAT","UHRSWORK","INCTOT","FTOTINC","INCWELFR","POVERTY","VETDISAB","DIFFREM","VETSTAT","UTILITIES","HHINCOME"
"61","1",17,"0",1,0,"0",3,"4",2,"0",49,"0",1,"1","0","1","0",11,7,"0",0,0,170800,0,"1","0",1,1,3733.25,NA
"62","1",17,"0",1,0,"0",2,"2",0,"0",29,"0",1,"1","0","1","0",6,6,"1",40,35000,85010,0,"1","0",1,1,3058.25,NA
"63","1",17,"0",2,240,"0",2,"4",3,"0",42,"0",0,"1","0","1","0",7,6,"0",0,10900,14500,2800,"0","0",2,1,9997,NA
"64","1",17,"0",2,240,"0",2,"4",0,"0",19,"0",0,"8","0","1","0",5,5,"0",10,3600,14500,0,"0","0",1,1,9997,NA
"65","1",17,"0",2,240,"0",2,"4",0,"0",18,"0",0,"8","0","1","0",5,5,"0",0,0,14500,0,"0","0",1,1,9997,NA
"66","1",17,"0",2,700,"0",2,"3",0,"0",23,"0",0,"2","0","1","0",10,7,"1",40,12000,78000,0,"1","0",1,1,6286.5,NA
"67","1",17,"0",2,700,"0",2,"3",0,"0",19,"0",0,"2","0","1","0",6,5,"1",12,1000,78000,0,"1","0",1,1,6286.5,NA
"68","1",17,"0",1,0,"0",2,"5",3,"0",33,"0",1,"1","0","1","0",8,6,"1",60,60000,112000,0,"1","0",1,1,3570.75,NA
"69","1",17,"0",1,0,"0",2,"3",2,"0",30,"0",0,"1","0","1","0",6,6,"1",32,19800,19800,0,"1","0",1,1,3505.75,NA
"70","1",17,"0",2,1600,"0",2,"3",1,"0",48,"0",2,"1","0","1","0",7,6,"1",35,26000,67000,0,"1","0",1,1,3165.75,NA
"71","1",17,"0",2,930,"0",1,"1",0,"0",40,"0",0,"1","0","1","0",7,6,"1",38,32000,32000,0,"1","0",1,1,5387.5,NA
