REGION,STATEFIP,METRO,OWNERSHP,RENT,FOODSTMP,VEHICLES,FAMSIZE,NCHILD,SEX,MARST,MARRNO,RACE,HISPAN,CITIZEN,SPEAKENG,HCOVANY,EDUC,GRADEATT,EMPSTAT,UHRSWORK,POVERTY,DIFFREM,DIFFMOB,VETSTAT,UTILITIES,GENERATION
0,9,1,2,630,0,2,2,0,2,0,1,1,1,0,1,1,11,7,1,10,1,0,0,1,9997,1
0,9,1,2,750,0,2,2,0,2,0,1,1,0,0,1,1,10,7,1,37,1,0,0,1,5877.5,1
0,9,1,0,0,0,0,1,0,2,2,0,1,0,0,1,1,5,5,3,0,0,1,1,1,0,1
0,9,1,0,0,0,0,1,0,1,2,0,1,0,0,1,1,7,6,3,0,0,0,0,1,0,1
0,9,1,1,0,0,3,3,0,1,2,0,2,0,0,1,1,11,6,1,40,1,0,0,1,4283.25,1
0,9,0,1,0,0,2,6,4,2,0,1,8,0,0,1,1,6,6,1,20,1,0,0,1,710,1
0,9,1,1,0,0,2,1,0,2,2,0,1,0,0,1,1,6,6,3,0,0,0,0,1,900,1
0,9,1,0,0,0,0,1,0,1,2,0,2,0,0,1,1,6,6,3,0,0,0,0,1,0,1
0,9,1,2,1100,0,2,1,0,1,1,1,1,0,0,1,1,10,7,3,10,0,0,0,1,5537.5,2
0,9,1,1,0,0,1,1,0,1,2,0,1,0,0,1,1,11,7,1,35,1,0,0,1,3028.25,1
0,9,1,1,0,0,2,3,0,1,2,0,1,0,0,1,1,7,6,3,20,1,0,0,1,3443.25,1
0,9,1,1,0,0,2,5,3,2,0,2,1,0,0,1,1,10,7,3,15,1,0,0,1,6609,2
0,9,0,0,0,0,0,1,0,2,2,0,1,0,0,1,1,7,6,3,30,0,0,0,1,0,1
0,9,1,1,0,0,4,3,0,1,2,0,1,0,0,1,1,5,5,3,0,1,1,0,1,4488.25,1
0,9,1,0,0,0,0,1,0,2,2,0,1,0,0,1,1,6,6,3,0,0,0,0,1,0,1
0,9,1,2,950,0,1,1,0,2,2,0,1,0,2,1,1,10,7,3,0,1,0,0,1,9996,1
0,9,0,0,0,0,0,1,0,2,2,0,1,0,0,1,1,7,6,1,24,0,0,0,1,0,1
0,9,1,1,0,0,4,4,0,1,2,0,1,0,0,1,1,10,6,1,50,1,0,0,1,8394.75,1
0,9,1,2,1300,0,2,3,2,2,2,0,2,0,0,1,1,7,6,1,40,1,0,0,1,8095.75,1
0,9,0,1,0,0,2,5,3,2,0,1,1,0,0,1,1,11,7,3,0,1,0,0,1,4448.25,2
0,9,1,2,2000,0,2,2,0,1,2,0,1,0,0,1,1,6,6,3,24,1,0,0,1,6082.5,1
0,9,1,1,0,0,3,2,0,2,0,2,2,0,0,1,1,10,7,1,40,1,0,0,1,4473.25,2
0,9,0,0,0,0,0,1,0,2,2,0,1,0,0,1,1,7,6,1,40,0,0,0,1,0,1
0,9,1,1,0,0,4,4,0,2,2,0,1,0,0,1,1,7,6,1,20,1,1,0,1,3923.25,1
0,9,0,1,0,0,4,6,0,2,2,0,1,0,0,1,1,6,6,1,40,1,0,0,1,6716.5,1
0,9,1,1,0,0,3,3,1,2,0,1,1,0,0,1,1,11,7,1,40,1,0,0,1,4078.25,2
0,9,1,1,0,0,3,3,0,1,2,0,1,0,0,1,1,6,6,3,25,1,0,0,1,8244.75,1
0,9,1,0,0,0,0,1,0,1,2,0,1,0,0,1,1,7,6,3,15,0,0,0,1,0,1
0,9,1,1,0,0,2,2,0,1,0,1,1,0,0,1,1,11,7,1,40,1,0,0,1,5281.5,1
0,9,0,1,0,0,2,2,0,1,0,1,1,0,0,1,1,10,6,1,45,1,0,0,1,5916.5,2
0,9,1,1,0,0,3,3,0,2,2,0,1,0,0,1,1,10,7,1,20,1,0,0,1,3923.25,1
0,9,1,1,0,0,1,5,0,2,2,0,7,1,0,1,1,7,6,1,20,1,0,0,1,3628.25,1
0,9,1,1,0,0,3,5,0,1,2,0,6,0,0,1,1,6,5,3,0,1,0,0,1,4818.25,1
0,9,1,1,0,0,4,4,0,1,2,0,8,4,0,1,0,6,6,2,0,1,0,0,1,4423.25,1
0,9,1,1,0,0,4,4,0,2,2,0,3,4,0,1,0,6,6,2,0,1,1,0,1,4423.25,1
0,9,1,1,0,0,4,1,0,2,1,1,1,0,0,1,0,7,6,2,60,1,1,0,1,4423.25,2
0,9,1,2,600,0,2,1,0,2,2,0,8,1,0,1,0,6,6,1,30,0,0,0,1,3598.25,1
0,9,1,2,300,0,1,1,0,2,2,0,1,0,0,1,1,7,6,1,40,1,0,0,1,5536.5,1
0,9,1,0,0,0,0,1,0,2,2,0,1,0,0,1,1,6,6,2,30,0,0,0,1,0,1
0,9,1,1,0,0,1,3,0,2,2,0,1,0,0,1,1,10,7,3,10,1,0,0,1,3418.25,1
0,9,1,1,0,0,1,5,3,1,0,1,1,0,0,1,1,7,6,2,60,1,0,0,1,6246.5,2
0,9,1,2,1200,1,0,3,2,2,1,3,9,1,0,1,1,7,6,2,0,0,0,0,1,5516.5,2
0,9,1,1,0,0,4,4,0,2,2,0,1,1,0,1,1,7,6,3,30,1,0,0,1,3558.25,1
0,9,1,1,0,0,2,4,2,2,0,1,1,0,0,1,1,8,6,1,24,1,0,0,1,8064.75,1
0,9,1,1,0,0,4,4,2,2,0,1,1,0,0,1,1,8,6,3,25,1,0,0,1,5671.5,2
0,9,1,2,650,0,3,4,0,1,2,0,1,0,0,1,1,8,6,1,40,1,0,0,1,4283.25,1
0,9,1,2,880,1,0,3,1,2,2,0,2,0,0,1,1,7,6,1,20,1,0,0,1,5747.5,1
0,9,0,0,0,0,0,1,0,2,2,0,1,1,0,1,1,7,6,1,10,0,0,0,1,0,1
0,9,1,1,0,0,1,1,0,1,2,0,1,0,0,1,0,7,6,1,40,1,0,0,1,5324,1
0,9,0,1,0,0,1,1,0,1,1,1,1,0,2,1,1,10,7,1,25,1,0,0,2,5496.5,4
0,9,1,2,530,1,1,4,0,1,2,0,7,1,0,1,0,5,5,3,0,1,1,1,1,8004.75,1
0,9,1,2,530,1,1,4,0,2,2,0,7,1,0,1,1,3,5,3,0,1,0,0,1,8004.75,1
0,9,0,1,0,0,2,1,0,1,1,1,1,0,0,1,1,10,7,1,50,1,0,0,1,5223.5,1
0,9,1,0,0,1,0,1,0,2,2,0,2,0,0,1,0,6,6,2,20,0,0,0,1,0,1
0,9,0,0,0,0,0,1,0,2,2,0,1,0,0,1,1,7,6,3,25,0,0,0,1,0,1
0,9,1,2,1800,0,2,1,0,2,2,0,1,0,0,1,1,10,7,1,35,1,0,0,1,5806.5,1
0,9,1,1,0,1,3,3,1,2,1,1,1,0,0,1,1,8,6,1,80,1,0,0,1,6016.5,2
0,9,1,1,0,1,3,1,0,2,2,0,1,1,0,1,1,7,6,1,22,1,0,0,1,6016.5,1
0,9,1,2,1200,0,6,4,2,1,0,1,1,1,0,1,0,7,6,2,40,0,0,0,1,5596.5,1
0,9,1,0,0,0,0,1,0,2,2,0,1,0,0,1,1,7,6,1,15,0,0,0,1,0,1
0,9,1,1,0,0,2,3,0,2,2,0,1,0,1,1,1,6,6,1,15,1,0,0,1,7884.75,1
0,9,1,2,1500,1,1,4,0,2,2,0,1,0,0,1,1,7,6,3,0,1,0,0,1,2795.75,1
0,9,0,1,0,0,3,3,0,1,2,0,1,0,0,1,1,7,6,1,8,1,0,0,1,2035,1
0,9,1,1,0,0,4,4,0,2,2,0,1,0,0,1,1,6,6,3,40,1,0,0,1,3768.25,1
0,9,0,2,1600,0,3,4,0,1,2,0,1,0,0,1,1,7,6,1,16,1,0,0,1,7677.75,1
0,9,1,0,0,0,0,1,0,1,2,0,2,0,0,1,1,4,5,3,30,0,0,0,1,0,1
0,9,1,1,0,0,4,6,0,2,2,0,1,0,0,1,1,7,6,1,15,1,0,0,1,3873.25,1
0,9,1,1,0,0,4,6,0,1,2,0,1,0,0,1,1,7,6,1,37,1,0,0,1,3873.25,1
0,9,1,1,0,0,2,2,0,1,0,1,1,4,2,1,1,10,7,1,40,1,0,0,1,5747.5,1
0,9,1,1,0,0,1,1,0,2,2,0,1,0,0,1,1,7,6,1,24,1,0,0,1,8335.75,1
0,9,0,1,0,0,4,4,0,2,2,0,8,0,0,1,1,7,6,2,35,1,0,0,1,5681.5,1
0,9,0,1,0,0,1,2,0,1,2,0,1,0,0,1,1,7,6,3,0,1,0,0,1,2908.25,1
0,9,1,0,0,0,0,1,0,2,2,0,1,0,0,1,1,7,6,1,12,0,0,0,1,0,1
0,9,1,1,0,0,2,1,0,2,2,0,1,0,0,1,1,11,7,1,60,1,0,0,1,2052.5,2
0,9,1,1,0,0,2,4,2,2,0,1,1,0,2,1,1,7,6,1,35,1,0,0,1,3453.25,1
0,9,0,2,800,1,1,1,0,2,2,0,7,1,0,1,1,10,7,3,20,1,0,0,1,5297.5,1
0,9,0,2,800,1,1,1,0,2,2,0,8,4,1,1,1,7,6,3,20,0,0,0,1,5297.5,1
0,9,1,0,0,0,0,1,0,1,2,0,1,0,0,1,1,6,6,3,40,0,0,0,1,0,1
0,9,1,1,0,0,2,3,0,2,2,0,1,0,0,1,1,10,6,2,16,1,0,0,1,5611.5,1
0,9,0,1,0,0,3,3,0,1,2,0,1,0,0,1,1,7,6,3,0,0,0,0,1,4948.25,1
0,9,0,1,0,0,4,4,0,1,2,0,1,0,0,1,1,8,6,2,0,1,0,0,1,3148.25,1
0,9,0,1,0,0,4,4,0,2,2,0,1,0,0,1,1,7,6,1,15,1,0,0,1,3148.25,1
0,9,1,2,700,0,1,1,0,2,2,0,1,0,0,1,0,7,6,3,0,0,0,0,1,3248.25,1
0,9,0,0,0,0,0,1,0,1,2,0,1,0,0,1,1,6,6,3,0,0,0,0,1,0,1
0,9,1,2,230,0,0,1,0,2,2,0,1,0,0,1,1,10,7,1,5,1,0,0,1,5178.5,1
0,9,1,2,230,0,0,1,0,2,2,0,6,0,0,1,1,11,7,3,0,0,0,0,1,5178.5,1
0,9,1,1,0,0,2,1,0,2,2,0,1,0,0,1,1,6,6,2,0,0,0,0,1,4100.75,1
0,9,1,1,0,0,3,3,0,1,2,0,1,4,0,1,1,10,6,1,40,1,0,0,1,7106.5,1
0,9,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,7,6,3,20,0,0,0,1,0,1
0,9,1,2,810,0,1,4,0,2,0,1,6,0,0,1,0,7,6,1,16,1,0,0,1,7706.75,1
0,9,1,2,1400,1,1,5,0,2,2,0,2,0,0,1,1,11,7,1,20,1,0,0,1,6137.5,1
0,9,1,2,1400,1,1,5,0,1,2,0,2,0,0,1,1,6,6,1,14,1,0,0,1,6137.5,1
0,9,1,2,1700,1,2,3,1,2,0,1,6,0,0,1,1,11,7,1,40,1,0,0,1,3293.25,1
0,9,1,0,0,0,0,1,0,2,2,0,1,0,0,1,1,7,6,1,24,0,0,0,1,0,1
0,9,1,1,0,0,1,2,0,2,0,1,2,0,2,1,1,8,6,1,32,1,0,0,1,3358.25,2
0,9,0,1,0,0,4,2,1,2,1,1,1,0,0,1,1,10,7,1,40,1,0,0,1,3573.25,2
0,9,0,0,0,0,0,1,0,2,2,0,6,0,0,1,1,7,6,3,0,0,0,0,1,0,1
0,9,1,1,0,0,4,3,0,1,2,0,1,0,0,1,1,5,5,1,16,1,0,0,1,4358.25,1
0,9,0,1,0,0,4,9,7,2,0,1,2,0,2,1,1,7,6,1,40,1,0,0,1,4508.25,2
0,9,0,1,0,0,4,9,0,2,2,0,2,0,0,1,1,10,6,1,25,1,0,0,1,4508.25,1
0,9,0,1,0,0,4,9,0,2,2,0,2,0,0,1,1,7,6,1,25,1,0,0,1,4508.25,1
0,9,0,1,0,0,4,9,0,2,2,0,2,0,0,1,1,6,5,1,12,1,0,0,1,4508.25,1
0,9,1,0,0,0,0,1,0,1,2,0,1,0,0,1,1,6,6,3,15,0,0,0,1,0,1
0,9,0,0,0,0,0,1,0,2,2,0,6,0,0,1,1,6,6,1,10,0,0,0,1,0,1
0,9,0,1,0,0,3,1,0,2,1,1,8,0,0,1,0,6,6,1,35,1,0,0,1,5911.5,2
0,9,1,1,0,0,3,4,0,2,2,0,1,0,0,1,1,10,7,1,20,1,0,0,1,3658.25,1
0,9,0,1,0,0,5,4,0,2,2,0,1,0,0,1,1,7,6,1,45,1,0,0,1,6256.5,1
0,9,0,1,0,0,3,3,0,1,2,0,1,0,0,1,1,6,6,1,35,1,0,0,1,3613.25,1
0,9,1,1,0,0,2,4,2,2,0,1,1,0,2,1,1,2,5,1,50,1,0,0,1,4578.25,2
0,9,1,1,0,0,6,3,0,1,2,0,1,0,0,1,1,10,7,1,6,1,0,0,1,3898.25,1
0,9,0,1,0,0,4,4,0,1,2,0,8,0,0,1,1,5,5,3,8,1,0,0,1,5531.5,1
0,9,0,1,0,0,4,4,0,1,2,0,6,0,0,1,1,6,5,3,24,1,0,0,1,5531.5,1
0,9,0,0,0,0,0,1,0,2,1,1,1,0,0,1,1,11,7,2,0,0,0,0,1,0,2
0,9,0,0,0,0,0,1,0,2,2,0,1,0,0,1,1,7,6,3,8,0,0,0,1,0,1
0,9,1,2,300,1,1,5,0,2,2,0,7,1,0,1,1,5,5,1,30,1,0,0,1,5806.5,1
0,9,0,0,0,0,0,1,0,2,2,0,6,0,0,1,1,7,6,3,25,0,0,0,1,0,1
0,9,0,1,0,0,3,3,0,2,2,0,1,0,0,1,1,6,6,3,40,1,0,0,1,3455.75,2
0,9,1,1,0,0,1,1,0,1,2,0,1,0,0,1,1,11,7,1,45,1,0,0,1,2865.75,2
0,9,0,0,0,0,0,1,0,1,2,0,6,0,2,1,1,7,6,1,12,0,0,0,1,0,1
0,9,0,1,0,1,3,3,1,1,0,1,1,0,1,1,1,7,7,1,40,1,0,0,1,3273.25,2
0,9,1,1,0,0,3,5,0,1,2,0,1,0,0,1,1,6,6,3,0,1,0,0,1,3360.75,1
